0,28.75,2014-7-1 
1,3,2014-7-2 
2,24.75,2014-7-3 
3,36.75,2014-7-4 
4,35.5,2014-7-5 
5,0,2014-7-6 
6,38.5,2014-7-7 
7,50.25,2014-7-8 
8,17.75,2014-7-9 
9,26,2014-7-10 
10,54.75,2014-7-11 
11,33,2014-7-12 
12,0,2014-7-13 
13,47.75,2014-7-14 
14,30,2014-7-15 
15,3.75,2014-7-16 
16,20.5,2014-7-17 
17,14,2014-7-18 
18,28.25,2014-7-19 
19,0,2014-7-20 
20,28.5,2014-7-21 
21,11,2014-7-22 
22,4,2014-7-23 
23,4.5,2014-7-24 
24,33.5,2014-7-25 
25,30,2014-7-26 
26,0,2014-7-27 
27,15.5,2014-7-28 
28,18.75,2014-7-29 
29,17.25,2014-7-30 
30,8,2014-7-31 
31,20.25,2014-8-1 
32,25.5,2014-8-2 
33,0,2014-8-3 
34,16.75,2014-8-4 
35,16,2014-8-5 
36,15.5,2014-8-6 
37,14.75,2014-8-7 
38,20.25,2014-8-8 
39,19.75,2014-8-9 
40,0,2014-8-10 
41,9.25,2014-8-11 
42,5.5,2014-8-12 
43,16.25,2014-8-13 
44,7.75,2014-8-14 
45,22.75,2014-8-15 
46,0.25,2014-8-16 
47,0,2014-8-17 
48,0,2014-8-18 
49,16,2014-8-19 
50,11,2014-8-20 
51,15,2014-8-21 
52,18.25,2014-8-22 
53,23.75,2014-8-23 
54,0,2014-8-24 
55,14.25,2014-8-25 
56,16.5,2014-8-26 
57,10,2014-8-27 
58,13,2014-8-28 
59,16,2014-8-29 
60,10.75,2014-8-30 
61,0,2014-8-31 
62,8.75,2014-9-1 
63,9,2014-9-2 
64,8.5,2014-9-3 
65,4.5,2014-9-4 
66,14.5,2014-9-5 
67,9.5,2014-9-6 
68,0,2014-9-7 
69,5,2014-9-8 
70,10,2014-9-9 
71,5,2014-9-10 
72,8,2014-9-11 
73,14.5,2014-9-12 
74,9,2014-9-13 
75,0,2014-9-14 
76,9.5,2014-9-15 
77,9.5,2014-9-16 
78,5,2014-9-17 
79,8,2014-9-18 
80,7.5,2014-9-19 
81,17,2014-9-20 
82,0,2014-9-21 
83,11.5,2014-9-22 
84,11.5,2014-9-23 
85,4,2014-9-24 
86,8,2014-9-25 
87,10.5,2014-9-26 
88,15,2014-9-27 
89,0,2014-9-28 
90,4.5,2014-9-29 
91,8.5,2014-9-30 
92,2,2014-10-1 
93,9.5,2014-10-2 
94,5.5,2014-10-3 
95,10,2014-10-4 
96,0,2014-10-5 
97,3.5,2014-10-6 
98,0,2014-10-7 
99,3,2014-10-8 
100,3.5,2014-10-9 
101,6.5,2014-10-10 
102,1.5,2014-10-11 
103,0,2014-10-12 
104,4,2014-10-13 
105,4.5,2014-10-14 
106,1.5,2014-10-15 
107,4.5,2014-10-16 
108,0,2014-10-17 
109,4.5,2014-10-18 
110,0,2014-10-19 
111,5,2014-10-20 
112,0,2014-10-21 
113,3.5,2014-10-22 
114,3,2014-10-23 
115,4,2014-10-24 
116,7,2014-10-25 
117,0,2014-10-26 
118,2.5,2014-10-27 
119,2.5,2014-10-28 
120,0.5,2014-10-29 
121,6.25,2014-10-30 
122,5.75,2014-10-31 
123,8,2014-11-1 
124,0,2014-11-2 
125,0,2014-11-3 
126,3,2014-11-4 
127,2,2014-11-5 
128,4,2014-11-6 
129,8.5,2014-11-7 
130,10.25,2014-11-8 
131,0,2014-11-9 
132,2.5,2014-11-10 
133,0,2014-11-11 
134,1,2014-11-12 
135,2,2014-11-13 
136,5.75,2014-11-14 
137,6,2014-11-15 
138,0,2014-11-16 
139,3.5,2014-11-17 
140,3,2014-11-18 
141,1,2014-11-19 
142,0,2014-11-20 
143,3.5,2014-11-21 
144,3.25,2014-11-22 
145,0,2014-11-23 
146,2.5,2014-11-24 
147,2,2014-11-25 
148,2.75,2014-11-26 
149,1,2014-11-27 
150,5.25,2014-11-28 
151,3.25,2014-11-29 
152,0,2014-11-30 
153,0.5,2014-12-1 
154,5.25,2014-12-2 
155,2.5,2014-12-3 
156,3.25,2014-12-4 
157,4.25,2014-12-5 
158,0,2014-12-6 
159,0,2014-12-7 
160,0,2014-12-8 
161,1.25,2014-12-9 
162,1.5,2014-12-10 
163,0.75,2014-12-11 
164,2.25,2014-12-12 
165,0.5,2014-12-13 
166,0.25,2014-12-14 
167,0.25,2014-12-15 
168,1.25,2014-12-16 
169,1,2014-12-17 
170,0.25,2014-12-18 
171,1.75,2014-12-19 
172,0.5,2014-12-20 
173,0,2014-12-21 
174,1.25,2014-12-22 
175,0.75,2014-12-23 
176,3,2014-12-24 
177,0,2014-12-25 
178,1.5,2014-12-26 
179,3.75,2014-12-27 
180,0,2014-12-28 
181,1,2014-12-29 
182,2,2014-12-30 
183,0,2014-12-31 
184,0,2015-1-1 
185,0,2015-1-2 
186,1,2015-1-3 
187,0,2015-1-4 
188,0.5,2015-1-5 
189,1,2015-1-6 
190,0,2015-1-7 
191,1.5,2015-1-8 
192,0,2015-1-9 
193,1.5,2015-1-10 
194,0,2015-1-11 
195,0,2015-1-12 
196,2.25,2015-1-13 
197,2.5,2015-1-14 
198,3.75,2015-1-15 
199,2.75,2015-1-16 
200,5,2015-1-17 
201,0,2015-1-18 
202,0.5,2015-1-19 
203,1.25,2015-1-20 
204,1.5,2015-1-21 
205,3.25,2015-1-22 
206,2,2015-1-23 
207,3.5,2015-1-24 
208,0,2015-1-25 
209,1.75,2015-1-26 
210,6.25,2015-1-27 
211,3.75,2015-1-28 
212,2,2015-1-29 
213,6.25,2015-1-30 
214,5,2015-1-31 
215,0,2015-2-1 
216,0,2015-2-2 
217,3.75,2015-2-3 
218,3,2015-2-4 
219,1.25,2015-2-5 
220,2.5,2015-2-6 
221,6.25,2015-2-7 
222,0,2015-2-8 
223,4.5,2015-2-9 
224,2,2015-2-10 
225,26,2015-2-11 
226,33.75,2015-2-12 
227,89.52000000000001,2015-2-13 
228,115.64000000000004,2015-2-14 
229,0,2015-2-15 
230,3.56,2015-2-16 
231,6.52,2015-2-17 
232,1.5,2015-2-18 
233,2.52,2015-2-19 
234,15,2015-2-20 
235,21,2015-2-21 
236,0,2015-2-22 
237,14.5,2015-2-23 
238,13,2015-2-24 
239,49.5,2015-2-25 
240,55,2015-2-26 
241,14.5,2015-2-27 
242,18,2015-2-28 
243,0,2015-3-1 
244,13.75,2015-3-2 
245,140.25,2015-3-3 
246,91.75,2015-3-4 
247,75.75,2015-3-5 
248,142.5,2015-3-6 
249,209,2015-3-7 
250,0.5,2015-3-8 
251,69.25,2015-3-9 
252,65,2015-3-10 
253,45.25,2015-3-11 
254,65.25,2015-3-12 
255,86.5,2015-3-13 
256,118.25,2015-3-14 
257,0.75,2015-3-15 
258,52.25,2015-3-16 
259,83.5,2015-3-17 
260,75,2015-3-18 
261,65.25,2015-3-19 
262,114.25,2015-3-20 
263,176.25,2015-3-21 
264,0,2015-3-22 
265,58,2015-3-23 
266,88.25,2015-3-24 
267,75.5,2015-3-25 
268,63,2015-3-26 
269,111.75,2015-3-27 
270,174.5,2015-3-28 
271,4.75,2015-3-29 
272,61.5,2015-3-30 
273,147,2015-3-31 
274,96.5,2015-4-1 
275,142.25,2015-4-2 
276,304,2015-4-3 
277,550.5,2015-4-4 
278,0.25,2015-4-5 
279,166.75,2015-4-6 
280,269,2015-4-7 
281,217,2015-4-8 
